video_id,reason
00295,missing_frame_dir
00333,missing_frame_dir
00337,missing_frame_dir
00340,missing_frame_dir
00374,missing_frame_dir
00378,missing_frame_dir
00383,missing_frame_dir
00412,missing_frame_dir
00419,missing_frame_dir
00422,missing_frame_dir
00423,missing_frame_dir
00424,missing_frame_dir
00425,missing_frame_dir
00429,missing_frame_dir
00432,missing_frame_dir
00434,missing_frame_dir
00581,missing_frame_dir
00587,missing_frame_dir
00588,missing_frame_dir
00598,missing_frame_dir
00601,missing_frame_dir
00602,missing_frame_dir
00618,missing_frame_dir
00630,missing_frame_dir
00635,missing_frame_dir
00636,missing_frame_dir
00638,missing_frame_dir
00662,missing_frame_dir
00665,missing_frame_dir
00667,missing_frame_dir
00691,missing_frame_dir
00693,missing_frame_dir
00829,missing_frame_dir
00838,missing_frame_dir
00840,missing_frame_dir
00841,missing_frame_dir
00850,missing_frame_dir
00857,missing_frame_dir
00867,missing_frame_dir
00870,missing_frame_dir
00873,missing_frame_dir
00886,missing_frame_dir
00893,missing_frame_dir
00897,missing_frame_dir
00902,missing_frame_dir
00903,missing_frame_dir
00950,missing_frame_dir
00966,missing_frame_dir
00972,missing_frame_dir
01016,missing_frame_dir
01020,missing_frame_dir
01021,missing_frame_dir
01062,missing_frame_dir
01067,missing_frame_dir
01069,missing_frame_dir
01075,missing_frame_dir
01077,missing_frame_dir
01078,missing_frame_dir
01102,missing_frame_dir
01106,missing_frame_dir
01121,missing_frame_dir
01124,missing_frame_dir
01149,missing_frame_dir
01161,missing_frame_dir
01194,missing_frame_dir
01211,missing_frame_dir
01212,missing_frame_dir
01215,missing_frame_dir
01216,missing_frame_dir
01224,missing_frame_dir
01228,missing_frame_dir
01230,missing_frame_dir
01242,missing_frame_dir
01247,missing_frame_dir
01248,missing_frame_dir
01249,missing_frame_dir
01251,missing_frame_dir
01263,missing_frame_dir
01267,missing_frame_dir
01269,missing_frame_dir
01322,missing_frame_dir
01325,missing_frame_dir
01372,missing_frame_dir
01375,missing_frame_dir
01379,missing_frame_dir
01382,missing_frame_dir
01390,missing_frame_dir
01392,missing_frame_dir
01393,missing_frame_dir
01394,missing_frame_dir
01395,missing_frame_dir
01396,missing_frame_dir
01397,missing_frame_dir
01411,missing_frame_dir
01423,missing_frame_dir
01426,missing_frame_dir
01427,missing_frame_dir
01429,missing_frame_dir
01437,missing_frame_dir
01440,missing_frame_dir
01441,missing_frame_dir
01457,missing_frame_dir
01465,missing_frame_dir
01467,missing_frame_dir
01468,missing_frame_dir
01469,missing_frame_dir
01470,missing_frame_dir
01472,missing_frame_dir
01475,missing_frame_dir
01478,missing_frame_dir
01482,missing_frame_dir
01488,missing_frame_dir
01491,missing_frame_dir
01493,missing_frame_dir
01494,missing_frame_dir
01504,missing_frame_dir
01509,missing_frame_dir
01513,missing_frame_dir
01514,missing_frame_dir
01551,missing_frame_dir
01555,missing_frame_dir
01562,missing_frame_dir
01572,missing_frame_dir
01578,missing_frame_dir
01580,missing_frame_dir
01581,missing_frame_dir
01596,missing_frame_dir
01601,missing_frame_dir
01603,missing_frame_dir
01604,missing_frame_dir
01611,missing_frame_dir
01613,missing_frame_dir
01614,missing_frame_dir
01625,missing_frame_dir
01628,missing_frame_dir
01644,missing_frame_dir
01645,missing_frame_dir
01651,missing_frame_dir
01721,missing_frame_dir
01728,missing_frame_dir
01733,missing_frame_dir
01796,missing_frame_dir
01803,missing_frame_dir
01805,missing_frame_dir
01806,missing_frame_dir
01828,missing_frame_dir
01833,missing_frame_dir
01837,missing_frame_dir
01838,missing_frame_dir
01873,missing_frame_dir
01877,missing_frame_dir
01879,missing_frame_dir
01912,missing_frame_dir
01921,missing_frame_dir
01925,missing_frame_dir
01959,missing_frame_dir
01964,missing_frame_dir
01989,missing_frame_dir
01990,missing_frame_dir
01995,missing_frame_dir
01996,missing_frame_dir
01997,missing_frame_dir
01998,missing_frame_dir
01999,missing_frame_dir
02000,missing_frame_dir
02002,missing_frame_dir
02011,missing_frame_dir
02013,missing_frame_dir
02041,missing_frame_dir
02047,missing_frame_dir
02050,missing_frame_dir
02051,missing_frame_dir
02089,missing_frame_dir
02094,missing_frame_dir
02096,missing_frame_dir
02097,missing_frame_dir
02098,missing_frame_dir
02102,missing_frame_dir
02107,missing_frame_dir
02111,missing_frame_dir
02123,missing_frame_dir
02143,missing_frame_dir
